Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Chaizara, RFH; Budiyanto, C; Hatta, P",,"Indriyanti, NY; Ramli, M; Nurhasanah, F",,"Chaizara, Rezza Fariszal Hisyam; Budiyanto, Cucuk; Hatta, Puspanda",,,The Development of Prototype Context-Aware Smart Home to facilitate the learning of Smart Green Building: Literature Review,"2ND INTERNATIONAL CONFERENCE ON SCIENCE, MATHEMATICS, ENVIRONMENT, AND EDUCATION, 2019",AIP Conference Proceedings,,,,,,,,,smart home; prototype; context-aware,,"The concept of a smart home has developed since the 90s. Where the initial goal of the emergence of the concept of a smart home is to create home automation that can increase the comfort of its residents. Smart home technology enables communication between household appliances and users and improves automation, monitoring and remote-control capabilities. Various studies have been conducted to develop smart home technology. The main purpose of developing a smart home is to meet human needs, namely, to increase user comfort and make everyday life easier. In its development, there are several aspects in a smart home that must be met, namely Security and Safety, Energy Management, and Comfort Control. In various countries have started implementing smart home simulators as learning media, various studies also show that the use of simulators can help in understanding a technology. But until now, in Indonesia, there is still no simulator/trainer who can facilitate learning about smart home technology. Therefore it is necessary to develop intelligent home prototypes that are integrated into one product to facilitate this learning. In this case, context-aware technology is a solution that can be used in the development of a smart green building. Technology context-aware is a term for a smart home that has the intelligence to automate home devices based on the context of the occupants. This paper aims to be a reference in developing smart home prototypes that fulfil the smart home aspects so that they can facilitate learning about smart home technology. This article was prepared by applying the method of critical analysis of literature published from 1992 to 2019 in journals and proceedings in Indonesian and English. As a follow up to future research, this article proposes the development of context-aware smart home simulator to facilitate learning about smart home technology.",,,,,,,,,,,,,,,,,,,,,,,,,2019,2194,,,,,,,,20016,10.1063/1.5139748,http://dx.doi.org/10.1063/1.5139748,,,,"Education, Scientific Disciplines; Environmental Sciences; Mathematics",,Education & Educational Research; Environmental Sciences & Ecology; Mathematics,,,,,,,,View Full Record in Web of Science
J,"Ul Rehman, S; Manickam, S",,,,"Ul Rehman, Shafiq; Manickam, Selvakumar",,,A Study of Smart Home Environment and its Security Threats,INTERNATIONAL JOURNAL OF RELIABILITY QUALITY & SAFETY ENGINEERING,,,,,,,,,,Smart home; security; home area network; home automation; ubiquitous computing,,"As the world is moving towards Internet of Things, smart home is now rapidly becoming a reality. Home appliances and devices are interconnected, i.e., home area network, via proprietary or standard TCP/IP protocols allowing for better management and monitoring. Nevertheless, as with any form of network, smart home is also prone to security threats and vulnerabilities. This paper aims at presenting the importance of security in smart home environment. Herein, we will discuss (a) the concepts of smart home environment, (b) various smart home communication mechanisms, (c) security challenges and concerns in smart home environment, (d) security threats in smart home environment, (e) current security measures to encounter such security attacks and finally, conclusion and future work.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2016,23,3,,,SI,,,,UNSP 1640005,10.1142/S0218539316400052,http://dx.doi.org/10.1142/S0218539316400052,,,,"Engineering, Multidisciplinary",,Engineering,,,,,,,,View Full Record in Web of Science
C,"Kim, S; Hong, JY; Kim, S; Kim, SH; Kim, JH; Chun, J",,"Apduhan, BO; Zheng, Y; Nakamoto, Y; Thulasiraman, P; Ning, H; Sun, Y",,"Kim, Sehoon; Hong, Jin-Young; Kim, Seil; Kim, Sung-Hoon; Kim, Jun-Hyung; Chun, Jake",,,RESTful Design and Implementation of Smart Appliances for Smart Home,2014 IEEE 11TH INTL CONF ON UBIQUITOUS INTELLIGENCE AND COMPUTING AND 2014 IEEE 11TH INTL CONF ON AUTONOMIC AND TRUSTED COMPUTING AND 2014 IEEE 14TH INTL CONF ON SCALABLE COMPUTING AND COMMUNICATIONS AND ITS ASSOCIATED WORKSHOPS,,,,,,,,,,smart home; smart appliance; restful architecture,,"The world is changing and we are moving towards the day when everything will be network accessible, named 'Internet of Things (IoT)'. The growing popularity of IoT leads various services such as healthcare, connected car, smart education and smart home services. Among these services, smart home becomes commercialized most rapidly. We developed the Smart Home Protocol (SHP) to enable connectivity between various our smart home devices including smart appliances, LED bulbs, IP cameras, etc. In this paper, we present an overview of the SHP based on RESTful architecture, followed by a detailed description of architecture and application profile for smart home devices. We also introduce our smart home services and describe the implementation of smart home protocol in smart appliances. To our understanding, this study is important, since it is a basis for enabling connectivity between our smart home products as well as those from other device and appliance manufacturers. We believe this work plays an important role for designing and implementing smart home devices such as smart appliances.",,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,717,722,,10.1109/UIC-ATC-ScalCom.2014.64,http://dx.doi.org/10.1109/UIC-ATC-ScalCom.2014.64,,,,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Nascimento, DR; Tortorella, GL; Fettermann, D",,,,"Nascimento, Debora Rosa; Tortorella, Guilherme Luz; Fettermann, Diego",,,Association between the benefits and barriers perceived by the users in smart home services implementation,KYBERNETES,,,,,,,,,,Service technology; User; Internet of things; Intelligent home,ADOPTION; TECHNOLOGY; CONSUMERS; PERCEPTIONS; ACCEPTANCE; PRIVACY; PERSPECTIVE; SYSTEMS; DESIGN; METERS,"Purpose The article aims to identify the association between each smart home service category's benefits and barriers to their adoption. The results seek to identify efficient approaches that motivate users to adopt smart homes services and support suppliers to establish strategies to expand and optimize smart home technologies. Design/methodology/approach The research used the chi-square test of independence to reveal the association between the benefits and barriers perceived by the users during smart home services implementation. Furthermore, the statistical analysis using reliable evidence based on 122 articles reported in the literature provides valuable knowledge for smart home implementation. Findings The results reveal which barriers and benefits in the smart home are essential for implementing each type of service. Therefore, the association between barriers and benefits with smart home services implementation can support the dissemination of smart home technologies. Practical implications The article provides evidence to develop strategies for implementing smart home services, supporting companies with guidelines to be more assertive in disseminating smart homes technologies. Originality/value Using the literature as a data source and raising the associations through the chi-square test of independence, the methodology provides a high level of generalization and strong evidence regarding the association of smart home benefits or barriers associated with every smart home service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1108/K-02-2022-0232,http://dx.doi.org/10.1108/K-02-2022-0232,,Aug-22,,"Computer Science, Cybernetics",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Chi, H; Chi, YY",,,,"Chi, Hao; Chi, Yuyan",,,Smart Home Control and Management Based on Big Data Analysis,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,,,,,,,,,,,NETWORKS,"In order to improve the effect of smart home control and management, a new smart home control and management method based on big data analysis is designed. The basic hardware of smart home control and management is designed, including smoke sensor hardware, temperature and humidity sensor hardware, and infrared sensor hardware, so as to collect smart home data and realize data visualization and buzzer alarm. The collected data are transmitted through the indoor wireless network of smart home gateway equipment, and the data distributed cache architecture based on big data analysis is used to store smart home data. Based on the relevant data, the hybrid particle swarm optimization algorithm is used to schedule the control and management tasks of smart home to complete the control and management of smart home. The experimental results show that the device control and scenario management effect of this method is better, and the communication performance is superior and has high practical application value.",,,,,,,,,,,,,,,,,,,,,,,,Feb-10,2022,2022,,,,,,,,3784756,10.1155/2022/3784756,http://dx.doi.org/10.1155/2022/3784756,,,,Mathematical & Computational Biology; Neurosciences,,Mathematical & Computational Biology; Neurosciences & Neurology,,,,,,,,View Full Record in Web of Science
C,"Zhao, XF",,"Liu, X; Zhang, K; Li, M",,Zhao Xue-feng,,,The Application of Bluetooth in the Control System of the Smart Home with Internet of Things,"ADVANCES IN MANUFACTURING SCIENCE AND ENGINEERING, PTS 1-4",Advanced Materials Research,,,,,,,,,Smart Home; Bluetooth; Internet of Things,,"Basing on the research of the network structure of the control system of the smart home and the characteristic of the wireless technology of the Bluetooth, it proposes an implementation of the control system of the smart home basing on the Bluetooth technology, builds the communication protocol architecture of the control subnet in smart home, and develops the smart home controller basing on the ARM9 S3C2440. In the control system of the smart home, it can implement the log, control, add, remove and other basic operations of the control sub net in the smart home system towards the household electrical appliances.",,,,,,,,,,,,,,,,,,,,,,,,,2013,712-715,,,,,,2753,2756,,10.4028/www.scientific.net/AMR.712-715.2753,http://dx.doi.org/10.4028/www.scientific.net/AMR.712-715.2753,,,,"Engineering, Industrial; Engineering, Manufacturing; Engineering, Mechanical; Materials Science, Multidisciplinary",,Engineering; Materials Science,,,,,,,,View Full Record in Web of Science
C,"Dahlan, NHM; Yeon, AL; Yusoff, ZM; Mandzir, N; Basarudin, NA",,"Rahim, AA; Rahman, AA; Wahab, HA; Yaacob, N; Mohamad, AM; Arshad, AHM",,"Dahlan, Nuarrual Hilal Md; Yeon, Asmah Laili; Yusoff, Zuryati Mohamed; Mandzir, Nazli; Basarudin, Noor Ashikin",,,'SMART HOME' IN THE STATUTORY HOUSING SALE AGREEMENTS IN MALAYSIA?,ILC 2017 - 9TH UUM INTERNATIONAL LEGAL CONFERENCE,European Proceedings of Social and Behavioural Sciences,,,,,,,,,Statutory housing sale agreement; smart home; features; issues,,"Today's 'smart home' is a popular notion referring to houses provided with automation and technological devices. The purpose of 'smart home' is to enhance safety and security and to provide environmental friendly and energy saving houses for benefit of the home owners/users. Insofar as the situation in Malaysia is concerned, there is no official definition of 'smart home'. Neither is there any legal and administrative policy on it. Likewise there is no specific law governing 'smart home'. Thus, the definition and governance of smart home is unclear. This paper aims to discuss 'smart home' vis-a-vis the terms and conditions in statutory housing sale agreements in Peninsular Malaysia. This paper uses legal and qualitative social research methodologies to examine the features and issues of 'smart home' under the said housing sale agreements. The outcome of this paper can help policy makers to shape up and improvise the legal features and characteristics of 'smart home' in Malaysia.",,,,,,,,,,,,,,,,,,,,,,,,,2018,52,,,,,,937,949,,10.15405/epsbs.2018.12.03.95,http://dx.doi.org/10.15405/epsbs.2018.12.03.95,,,,"Law; Psychology, Multidisciplinary",,Government & Law; Psychology,,,,,,,,View Full Record in Web of Science
C,"Chen, LY",,"Ma, ZL; Fang, ZG; Ke, JF",,"Chen, Liangying",,,Research of Network Security Technology in Smart Home,"PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING, INFORMATION SCIENCE & APPLICATION TECHNOLOGY (ICCIA 2016)",ACSR-Advances in Comptuer Science Research,,,,,,,,,Network security technology; smart home; research,,"Under the background of the development of computer technology and information technology, the smart home network has been gradually improved, surpassed the previous development, and gained new progress. The realization of smart home system needs network security technology as a guarantee. Although the smart home system has made progress, while for maintaining the harmony and coordination of the families' facilities and the residential environment, there are a lot of technical problems needed to be solved at present. For example, many safety standards need to be unified. This paper, from the realization of the domestic and international research situation of smart home, an overview of the network security technology, smart home network framework, and the existing smart home network security system to study on the application and research of network security technology in smart home, and then analyzes and draws the conclusion. In a word, to achieve the security of smart home system needs network security technology continuing to progress, so it also requires long-term efforts.",,,,,,,,,,,,,,,,,,,,,,,,,2016,56,,,,,,108,112,,,,,,,"Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Engineering, Multidisciplinary",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
J,"Pliatsikas, P; Economides, AA",,,,"Pliatsikas, Panayotis; Economides, Anastasios A.",,,Factors Influencing Intention of Greek Consumers to Use Smart Home Technology,APPLIED SYSTEM INNOVATION,,,,,,,,,,Greek consumers; perceived compatibility; perceived enjoyment; perceived usability; perceived ease of use; smart home; smart technology; technology acceptance model,INFORMATION-TECHNOLOGY; BEHAVIORAL INTENTION; ACCEPTANCE; ADOPTION; BARRIERS,"New technologies' advances offer innovative automations to people's daily lives. More and more devices are continuously connected to the internet allowing people to control them remotely. The smart home is such a technological development. However, it is uncertain whether and to what extent the average consumer will accept smart home technology. The purpose of this study is to investigate the factors that affect the intention of Greek consumers to use smart home technology. The results of this study show that Greek consumers are beginning to have a positive attitude towards smart home technology. Important factors that contribute to their intention to use smart home technology include their perceived usefulness, compatibility, and ease of use of smart home technology. On the contrary, they do not think that they are influenced by their social environment regarding their intention to use smart home technology. Finally, they think that the major benefits of using smart home technology include the health monitoring, home security, and cost savings.",,,,,,,,,,,,,,,,,,,,,,,,FEB,2022,5,1,,,,,,,26,10.3390/asi5010026,http://dx.doi.org/10.3390/asi5010026,,,,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",,Computer Science; Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Chang, YF; Chen, SY",,"Sun, D; Sung, WP; Chen, R",,"Chang, Yi-Feng; Chen, Shang-Yuan",,,Constructing an Architectural Designer-Oriented Computer-Aided Design Tool for Smart Home Device,"FRONTIERS OF MANUFACTURING AND DESIGN SCIENCE II, PTS 1-6",Applied Mechanics and Materials,,,,,,,,,Computer-aided design; intelligent agent; scenario-oriented design; smart home device,,"This study developed a designer-oriented smart home device computer-aided design tool that can help architectural designers to design smart home. This design tool is intended to incorporate smart home devices into overall spatial planning from the beginning of the planning process. Cloud computing [1] facilitates opportunities for online collaboration and coordination between individuals, between individuals and objects, and between objects, and will help speed the evolution smart home from centrally-controlled intelligent buildings to smart living space emphasizing distributed computation ability. This study employs (1) the theory of intelligent agents and (2) scenario-oriented design as an integrated framework for computer-aided design of smart home device. Smart home device are redefined based on agent theory. Agents' behavioral models include the five types of passive, reactive, active, interactive, and communicative; a comparison of these types provides a basis for the selection of home elements. Scenario-oriented design is employed to construct a smart living space (the A1. Living LAB.), which verifies the feasibility of the interface's operations. Finally, the resulting design methods and practical results are used to create a system development blueprint. Real life scenarios provide a basis for communication with smart home industry collaborators, enabling architectural designers to perform scenario modeling of a smart home proposal, quickly and conveniently establish a smart home information modeling system, and promote teamwork with smart home industry personnel.",,,,,,,,,,,,,,,,,,,,,,,,,2012,121-126,,,,,,4284,+,,10.4028/www.scientific.net/AMM.121-126.4284,http://dx.doi.org/10.4028/www.scientific.net/AMM.121-126.4284,,,,"Engineering, Manufacturing; Engineering, Mechanical",,Engineering,,,,,,,,View Full Record in Web of Science
C,"Huang, XP",,"Lee, G",,"Huang, Xinping",,,Research on the Application of Femtocell in Smart Home System,"2013 INTERNATIONAL CONFERENCE ON ECONOMIC, BUSINESS MANAGEMENT AND EDUCATION INNOVATION (EBMEI 2013), VOL 20",Lecture Notes in Management Science,,,,,,,,,Femtocell; ZigBee; Smart home; Remote access; Remote control,,"The appearance of femtocell, which also known as home node B (HNB) and home enhanced node B (HeNB), has injected fresh impetus to the development and application of smart home system. In this paper, start from the typical application scenarios and technical requirements of the smart home, through comparison and analysis of various existing smart home system and technology, we propose a solution for smart home system based on femtocell, which is called Femtocell-based Smart Home System (FSHS).",,,,,,,,,,,,,,,,,,,,,,,,,2013,20,,,,,,411,416,,,,,,,"Education & Educational Research; Management; Social Sciences, Interdisciplinary",,Education & Educational Research; Business & Economics; Social Sciences - Other Topics,,,,,,,,View Full Record in Web of Science
C,"Li, Y",,"AlDabass, D; Romero, G; Orsoni, A; Pantelous, A",,"Li, Yue",,,Design of A Key Establishment Protocol for Smart Home Energy Management System,"2013 FIFTH INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE, COMMUNICATION SYSTEMS AND NETWORKS (CICSYN)",,,,,,,,,,wireless sensor network; smart home energy management system; key establishment,,"With the fast development of Wireless Sensor Networks (WSNs) and RFID technology, many Internet of Things (IOT) applications have been deployed in recent years. Smart home energy management systems form part of the smart grid program and are a fast developing smart home application area. Inadequate security is a big issue in smart home energy management systems. Most security protocols widely used for computer network and internet security cannot be implemented in smart home energy management systems as they are computational expensive for the wireless sensor nodes used in smart home applications. The major issue in the security of smart home energy management systems is the establishment of the initial session key between the wireless nodes and control center. In this paper, we propose a lightweight key establishment protocol for smart home energy management systems and present the implementation details of the protocol.",,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,88,93,,10.1109/CICSYN.2013.42,http://dx.doi.org/10.1109/CICSYN.2013.42,,,,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
J,"Khan, M; Silva, BN; Jung, C; Han, K",,,,"Khan, Murad; Silva, Bhagya Nathali; Jung, Changsu; Han, Kijun",,,A context-Aware Smart Home Control System based on ZigBee Sensor Network,KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,,,,,,,,,,ZigBee; IEEE 802.11x; WLAN; Smart Home,,"The applications of Wireless Sensor Networks (WSN) are progressively adopting for various smart home services such as home automation, controlling smart home household appliances, constrained application services in a smart home, etc. However, enabling a seamless and ubiquitous WSN communication between the smart home appliances is still a challenging job. Therefore, in this paper, we propose a smart home control system using an Actuator based ZigBee networking (AZNET). The working of the proposed system is further divided into three phases, 1) an interference avoidance system is adopted to mitigate the effect of interference caused due to the co-existence of IEEE 802.11x based wireless local area networks (WLAN) and WSN, 2) a sensor-based smart light control system is used to fulfill the light requirement in the smart home using the sunlight with light source, and 3) an autonomous home management system is used to regulate the usage time of the electronic appliances in the smart home. The smart is tested in real time environment to use the sunlight with light sources in a various time of the day. Similarly, the performance of the proposed smart home is verified through simulation using C# programming language. The results and analysis revealed that the proposed smart home is less affected by the interference and efficient in reducing the energy consumption of the appliances available in the smart home scenario.",,,,,,,,,,,,,,,,,,,,,,,,Feb-28,2017,11,2,,,,,1057,1069,,10.3837/tiis.2017.02.024,http://dx.doi.org/10.3837/tiis.2017.02.024,,,,"Computer Science, Information Systems; Telecommunications",,Computer Science; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Hu, JF; Mu, ZD",,"Sung, WP; Kao, JCM; Chen, R",,"Hu, Jian-feng; Mu, Zhen-dong",,,Authentication system using EEG biometric for smart home,"FRONTIERS OF MECHANICAL ENGINEERING AND MATERIALS ENGINEERING II, PTS 1 AND 2",Applied Mechanics and Materials,,,,,,,,,EEG; Biometric; smart home; authentication system,,"smart home, is a trend of home furnishing development, smart home operation should not be too complicated, it will lose the meaning of smart home, the EEG signals, different from the degree of response to familiar objects, using the EEG signal successfully solve the smart home in the room into the authentication problem.",,,,,,,,,,,,,,,,,,,,,,,,,2014,457-458,,,,,,1228,1231,,10.4028/www.scientific.net/AMM.457-458.1228,http://dx.doi.org/10.4028/www.scientific.net/AMM.457-458.1228,,,,"Automation & Control Systems; Engineering, Industrial; Engineering, Mechanical; Materials Science, Multidisciplinary",,Automation & Control Systems; Engineering; Materials Science,,,,,,,,View Full Record in Web of Science
C,"Zhang, L",,,Destech Publicat Inc,"Zhang, Ling",,,Research on the Current Situation of Smart Home Based on IOT,2ND INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY FOR EDUCATION (ICTE 2015),,,,,,,,,,Internet of Things (IoT); Smart Home; Information; Network,,"With the rapid development of Internet of Things (IOT), smart home which is regarded as typical applications, has ushered in the new hope. Smart home industry is gradually developing towards network, information and intelligence, and the development idea and application prospect become clearer. But overall, the smart home industry has to face some problems. In this paper, the current situation of the smart home has been researched, and some suggestions have been proposed for the development of smart home based on IoT.",,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,262,265,,,,,,,"Automation & Control Systems; Engineering, Electrical & Electronic; Telecommunications",,Automation & Control Systems; Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Tan, JY; Ker, PJ; Abdullah, A",,,IEEE,"Tan, Jin Yeong; Ker, Pin Jern; Abdullah, Azlina",,,Smart Home Design with XBee Wi-Fi and Android-based Graphical User Interface,PROCEEDINGS OF THE 14TH IEEE STUDENT CONFERENCE ON RESEARCH AND DEVELOPMENT (SCORED),IEEE Student Conference on Research and Development SCOReD,,,,,,,,,Wi-Fi; Microcontroller; PIC (R); XBee Wi-Fi; Smart Home; Android,,"The smart home concept has constantly gained popularity over the past decades following the advent of technology. However, concerns on flexibility and infrastructure requirements discourage the widespread implementation of this concept. This project aims to improve the overall experience of a smart home by integrating the Wi-Fi IEEE 802.11 wireless communication standard into a standard smart home sensory network. The tasks of the project were centred on the development of a Wi-Fi integrated smart home system with a PIC (R) microcontroller and a Wi-Fi module as the core components. Additional components such as light-dependent resistor (LDR), temperature sensor, light-emitting diodes (LEDs) and DC motor were included to mimic a real life home environment. A custom designed Android graphical user interface (GUI) application was also developed to enable automated and manual control of the modelled smart home. The final smart home prototype presented the integration of Wi-Fi into a smart home network that grants users with greater flexibility while preserving the existing smart home experience.",,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,"Engineering, Electrical & Electronic",,Engineering,,,,,,,,View Full Record in Web of Science
C,"Liu, WM; He, JH",,,IEEE,"Liu, Wenming; He, Jinghui",,,Application Research of Intelligent Household Products in Residential Environment,2021 2ND INTERNATIONAL CONFERENCE ON INTELLIGENT DESIGN (ICID 2021),,,,,,,,,,artificial intelligence; interior design; human-computer interaction,,"This paper studies the relationship between smart home products and interior environmental design, expounds the development status of smart home products, analyzes the impact factors of smart home products on modern living environment design, and emphasizes that the design of home environment should focus on innovation, integration and design style evolution. Based on the present application situation of the smart home products, the application trend and future development direction of smart home products in home environment design are deeply studied.",,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,472,475,,10.1109/ICID54526.2021.00098,http://dx.doi.org/10.1109/ICID54526.2021.00098,,,,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Taiwo, O; Gabralla, LA; Ezugwu, AE",,"Gervasi, O; Murgante, B; Misra, S; Garau, C; Blecic, I; Taniar, D; Apduhan, BO; Rocha, AMAC; Tarantino, E; Torre, CM; Karaca, Y",,"Taiwo, Olutosin; Gabralla, Lubna A.; Ezugwu, Absalom E.",,,"Smart Home Automation: Taxonomy, Composition, Challenges and Future Direction","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2020, PT VI",Lecture Notes in Computer Science,,,,,,,,,Internet of Things; Smart home automation; Home network; Smart home hardware platforms,HEALTH-CARE; TECHNOLOGIES; INTERNET; SYSTEM; IOT,"Smart home is an evolving technological innovation that originates from the numerous application areas of the Internet of Things (IoT). As the world is driving more and more closer to adopting smart cities based infrastructural environments, in which most activities involve innovative technological connectivity, smart home automation is one of the focused areas which has grown exponentially in the last few decades. The main objective of smart home automation is to make life easier and convenient for homeowners and users. The role of smart home automation is essential to healthcare and the social and economic well-being of all users through the provision of a convenient and conducive place of living. With the spontaneous evolution of new trends in smart home automation design, the various elements and functions of devices used in building smart home systems need to be explained as these technologies have significant benefits. They can assist traditional methods of controlling and monitoring home appliances, improve healthcare for the elderly and disabled, alert homeowners in case of potential risk and enable homes to be controlled even while the owner is far from home. Most importantly, smart home systems have great potential for reduction in energy loss. Furthermore, to provide valuable insights into these technological environments, we must clearly understand some of the available options and gaps in the area of smart home automation systems. This paper presents a taxonomy of IoT smart home automation systems with elaborate discussions on the technologies, trends and challenges in smart home automation system design. A constructive and detailed review of existing literature based on application areas of smart home automation is presented. Lastly, highlights of the approaches, technologies, and strength and weaknesses associated with the smart home automation systems are discussed.",,,,,,,,,,,,,,,,,,,,,,,,,2020,12254,,,,,,878,894,,10.1007/978-3-030-58817-5_62,http://dx.doi.org/10.1007/978-3-030-58817-5_62,,,,"Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Mathematics, Applied",,Computer Science; Mathematics,,,,,,,,View Full Record in Web of Science
C,"Liu, H; Li, CY; Jin, XC; Li, JR; Zhang, YY; Gu, DW",,,ACM,"Liu, Hui; Li, Changyu; Jin, Xuancheng; Li, Juanru; Zhang, Yuanyuan; Gu, Dawu",,,"Smart Solution, Poor Protection: An Empirical Study of Security and Privacy Issues in Developing and Deploying Smart Home Devices",PROCEEDINGS OF THE 2017 WORKSHOP ON INTERNET OF THINGS SECURITY AND PRIVACY (IOT S&P'17),,,,,,,,,,IoT; smart home solution; security; privacy,,"The concept of Smart Home drives the upgrade of home devices from traditional mode to an Internet-connected version. Instead of developing the smart devices from scratch, manufacturers often utilize existing smart home solutions released by large IT companies (e.g., Amazon, Google) to help build the smart home network. A smart home solution provides components such as software development kit (SDK) and relevant management system to boost the development and deployment of smart home devices. Nonetheless, the participating of third-party SDKs and management systems complicates the workflow of such devices. If not meticulously assessed, the complex workflow often leads to the violation of privacy and security to both the consumer and the manufacturer. In this paper, we illustrate how the security and privacy of smart home devices are affected by JoyLink, a widely used smart home solution. We demonstrate a concrete analysis combined with network traffic interception, source code audit, and binary code reverse engineering to evince that the design of smart home solution is error-prone. We argue that if the security and privacy issues are not considered, devices using the solution are inevitably vulnerable and thus the privacy and security of smart home are seriously threatened.",,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,13,18,,10.1145/3139937.3139948,http://dx.doi.org/10.1145/3139937.3139948,,,,"Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Yang, C; Yuan, B; Tian, Y; Feng, ZM; Mao, W",,"Liu, X; ElBaz, D; Hsu, CH; Kang, K; Chen, W",,"Yang, Cui; Yuan, Bo; Tian, Ye; Feng, Zongming; Mao, Wei",,,A Smart Home Architecture Based on Resource Name Service,2014 IEEE 17TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ENGINEERING (CSE),,,,,,,,,,smart home; Internet of Things; identifier; RNS; interoperability; compatibility,,"Smart home contains centralized controlled lights, Heating, Ventilation and Air Conditioning (HVAC), appliances, security locks of gates and doors and other intelligent equipment, to provide convenient, comfortable, energy efficient and secure services to users. Although many countries and organizations have designed various smart home architectures, there are still some problems in these existing solutions. One problem is the interoperability among multiple appliances in home environment. Another rising problem is the difference of identifiers, operating platform and programming languages accepted for smart home systems. Heterogeneous services and devices need to be interoperable each other in order to perform joint execution of tasks. Therefore, the heterogeneity problem of appliance and identifier leads to poor compatibility in smart home systems. This paper proposes a novel smart home architecture based on Resource Name Service (RNS), which defines the participating parties of smart home and the relationships between them, and designs the specific process of smart home services. This architecture can achieve interoperability among various vendors and improve the compatibility without doing much extra changes on these existing smart home appliances.",,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,1915,1920,,10.1109/CSE.2014.351,http://dx.doi.org/10.1109/CSE.2014.351,,,,"Engineering, Electrical & Electronic",,Engineering,,,,,,,,View Full Record in Web of Science
